release_tag,release_date,refactoring_type,description,left_files,right_files
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCaseFromParcel : TestCase to testCaseFromParcel : androidx.test.services.events.TestCase in method public testCaseToParcelableTest_withMethodAnnotations() : void from class androidx.test.services.events.discovery.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L81;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L87;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L88-L89;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L90-L91;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L92-L93;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L94-L95;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L97;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L83;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L84,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L87-L88;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L94;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L95-L96;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L97-L98;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L99-L100;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L101-L102;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L104;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L90;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L91
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Class,Move Class androidx.test.services.events.discovery.DummyAnnotation moved to androidx.test.services.events.DummyAnnotation,services/events/javatests/androidx/test/services/events/discovery/DummyAnnotation.java#L23-L30,services/events/javatests/androidx/test/services/events/DummyAnnotation.java#L23-L30
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Class,Move Class androidx.test.services.events.discovery.TestCaseParcelableTest moved to androidx.test.services.events.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L31-L106,services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L30-L99
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCase : androidx.test.services.events.TestCase to testCase : TestCase in method public testCaseToParcelableTest_basicClassNameAndMethodNameGiven() : void from class androidx.test.services.events.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L45-L47;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L49,services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L44;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L46
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCaseFromParcel : androidx.test.services.events.TestCase to testCaseFromParcel : TestCase in method public testCaseToParcelableTest_basicClassNameAndMethodNameGiven() : void from class androidx.test.services.events.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L53-L54;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L56;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L57;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L58;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L59,services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L50;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L52;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L53;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L54;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L55
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCase : androidx.test.services.events.TestCase to testCase : TestCase in method public testCaseToParcelableTest_withMethodAnnotations() : void from class androidx.test.services.events.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L79-L81;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L83,services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L75;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L77
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCaseFromParcel : androidx.test.services.events.TestCase to testCaseFromParcel : TestCase in method public testCaseToParcelableTest_withMethodAnnotations() : void from class androidx.test.services.events.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L87-L88;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L94;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L97-L98;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L99-L100;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L101-L102;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L104;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L95-L96;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L90;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L91,services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L81;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L87;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L90-L91;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L92-L93;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L94-L95;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L97;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L88-L89;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L83;services/events/javatests/androidx/test/services/events/TestCaseParcelableTest.java#L84
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Method,Move Method public describeContents() : int from class androidx.test.services.events.discovery.TestCase to public describeContents() : int from class androidx.test.services.events.run.TestRunEvent,services/events/java/androidx/test/services/events/discovery/TestCase.java#L94-L97,services/events/java/androidx/test/services/events/run/TestRunEvent.java#L54-L57
androidx-test-1.3.0-alpha03,2019-12-03-18,Rename Method,Rename Method public testEnableAccessibilityChecksTwice_throwsIllegalStateException() : void renamed to public enableIsIdempotent() : void in class androidx.test.ui.app.AccessibilityChecksTest,testapps/ui_testapp/javatests/androidx/test/ui/app/AccessibilityChecksTest.java#L149-L159,testapps/ui_testapp/javatests/androidx/test/ui/app/AccessibilityChecksTest.java#L149-L153
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Type Declaration Kind,Change Type Declaration Kind enum to class in type androidx.test.services.events.discovery.TestDiscoveryEvent,services/events/java/androidx/test/services/events/discovery/TestDiscoveryEvent.java#L22-L53,services/events/java/androidx/test/services/events/discovery/TestDiscoveryEvent.java#L22-L47
androidx-test-1.3.0-alpha03,2019-12-03-18,Add Parameter,"Add Parameter activityOptions : Bundle in method public startActivity(intent Intent, activityOptions Bundle) : void from class androidx.test.core.app.InstrumentationActivityInvoker",core/java/androidx/test/core/app/InstrumentationActivityInvoker.java#L334-L364,core/java/androidx/test/core/app/InstrumentationActivityInvoker.java#L353;core/java/androidx/test/core/app/InstrumentationActivityInvoker.java#L351-L382
androidx-test-1.3.0-alpha03,2019-12-03-18,Add Parameter,Add Parameter activityOptions : Bundle in method private launchInternal(activityOptions Bundle) : void from class androidx.test.core.app.ActivityScenario,core/java/androidx/test/core/app/ActivityScenario.java#L216-L239,core/java/androidx/test/core/app/ActivityScenario.java#L246;core/java/androidx/test/core/app/ActivityScenario.java#L240-L265
